ALT-KM,T-DEG-K,T-DEG-C
60.348000000000,260.000000000000,-13.150000000000
59.560000000000,264.400000000000,-8.750000000000
58.818000000000,268.700000000000,-4.450000000000
58.166000000000,273.700000000000,0.550000000000
57.462000000000,278.500000000000,5.350000000000
56.826000000000,283.000000000000,9.850000000000
56.214000000000,289.200000000000,16.050000000000
55.633000000000,295.800000000000,22.650000000000
55.049000000000,301.300000000000,28.150000000000
54.469000000000,306.800000000000,33.650000000000
53.940000000000,312.200000000000,39.050000000000
53.413000000000,317.600000000000,44.450000000000
53.183000000000,320.100000000000,46.950000000000
52.702000000000,325.200000000000,52.050000000000
52.209000000000,330.000000000000,56.850000000000
51.741000000000,334.300000000000,61.150000000000
51.263000000000,338.200000000000,65.050000000000
50.802000000000,341.800000000000,68.650000000000
50.363000000000,345.500000000000,72.350000000000
49.930000000000,349.300000000000,76.150000000000
49.503000000000,353.300000000000,80.150000000000
49.098000000000,356.900000000000,83.750000000000
48.685000000000,360.800000000000,87.650000000000
48.285000000000,364.700000000000,91.550000000000
47.902000000000,367.700000000000,94.550000000000
47.532000000000,371.000000000000,97.850000000000
47.162000000000,372.700000000000,99.550000000000
46.802000000000,374.300000000000,101.150000000000
46.447000000000,376.200000000000,103.050000000000
46.090000000000,378.500000000000,105.350000000000
45.799000000000,380.600000000000,107.450000000000
45.471000000000,383.100000000000,109.950000000000
45.100000000000,385.600000000000,112.450000000000
44.792000000000,387.300000000000,114.150000000000
44.482000000000,389.300000000000,116.150000000000
44.162000000000,391.200000000000,118.050000000000
43.859000000000,393.300000000000,120.150000000000
43.543000000000,395.300000000000,122.150000000000
43.252000000000,397.100000000000,123.950000000000
42.968000000000,398.800000000000,125.650000000000
42.659000000000,400.700000000000,127.550000000000
42.381000000000,402.800000000000,129.650000000000
42.089000000000,404.200000000000,131.050000000000
41.808000000000,406.000000000000,132.850000000000
41.523000000000,408.000000000000,134.850000000000
41.262000000000,409.500000000000,136.350000000000
41.000000000000,410.900000000000,137.750000000000
40.747000000000,412.600000000000,139.450000000000
40.460000000000,414.100000000000,140.950000000000
40.198000000000,415.800000000000,142.650000000000
39.928000000000,417.100000000000,143.950000000000
39.685000000000,418.700000000000,145.550000000000
39.432000000000,420.000000000000,146.850000000000
39.188000000000,421.500000000000,148.350000000000
38.917000000000,422.700000000000,149.550000000000
38.684000000000,424.900000000000,151.750000000000
38.454000000000,427.000000000000,153.850000000000
38.231000000000,428.900000000000,155.750000000000
37.997000000000,430.900000000000,157.750000000000
37.767000000000,432.500000000000,159.350000000000
37.532000000000,434.400000000000,161.250000000000
37.294000000000,436.300000000000,163.150000000000
37.056000000000,438.300000000000,165.150000000000
36.854000000000,440.200000000000,167.050000000000
36.635000000000,442.000000000000,168.850000000000
36.416000000000,443.900000000000,170.750000000000
36.197000000000,445.700000000000,172.550000000000
36.105000000000,447.000000000000,173.850000000000
35.888000000000,448.900000000000,175.750000000000
35.653000000000,450.500000000000,177.350000000000
35.460000000000,452.100000000000,178.950000000000
35.253000000000,453.800000000000,180.650000000000
35.043000000000,455.800000000000,182.650000000000
34.849000000000,457.600000000000,184.450000000000
34.639000000000,459.300000000000,186.150000000000
34.439000000000,461.000000000000,187.850000000000
34.232000000000,462.700000000000,189.550000000000
34.020000000000,464.300000000000,191.150000000000
33.813000000000,466.000000000000,192.850000000000
33.760000000000,467.700000000000,194.550000000000
33.402000000000,469.200000000000,196.050000000000
33.248000000000,470.900000000000,197.750000000000
33.054000000000,472.500000000000,199.350000000000
32.869000000000,474.300000000000,201.150000000000
32.673000000000,475.800000000000,202.650000000000
32.481000000000,477.400000000000,204.250000000000
32.304000000000,478.900000000000,205.750000000000
32.130000000000,480.400000000000,207.250000000000
31.919000000000,482.200000000000,209.050000000000
31.751000000000,483.700000000000,210.550000000000
31.571000000000,485.000000000000,211.850000000000
31.407000000000,486.800000000000,213.650000000000
31.220000000000,488.300000000000,215.150000000000
31.060000000000,489.500000000000,216.350000000000
30.878000000000,491.400000000000,218.250000000000
30.698000000000,492.800000000000,219.650000000000
30.533000000000,494.300000000000,221.150000000000
30.358000000000,495.600000000000,222.450000000000
30.197000000000,497.000000000000,223.850000000000
30.060000000000,498.500000000000,225.350000000000
29.880000000000,499.900000000000,226.750000000000
29.714000000000,501.200000000000,228.050000000000
29.560000000000,502.800000000000,229.650000000000
29.376000000000,504.300000000000,231.150000000000
29.226000000000,505.600000000000,232.450000000000
29.057000000000,507.100000000000,233.950000000000
28.900000000000,508.500000000000,235.350000000000
28.735000000000,509.900000000000,236.750000000000
28.572000000000,511.200000000000,238.050000000000
28.431000000000,512.400000000000,239.250000000000
28.272000000000,513.100000000000,239.950000000000
28.114000000000,515.100000000000,241.950000000000
27.958000000000,516.400000000000,243.250000000000
27.718000000000,519.000000000000,245.850000000000
27.370000000000,521.900000000000,248.750000000000
27.058000000000,524.400000000000,251.250000000000
26.762000000000,527.000000000000,253.850000000000
26.437000000000,529.500000000000,256.350000000000
